SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1_26/01/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
18,1.0444719516,1.0058887189,1.2259566135,1.9579763163,3.2603398819,4.9633030083,7.0212512872,8.9884592434,11.0398499381,12.7863915881,13.6684662773,12.7055823015,11.1561559444,9.1754500838,7.1572902182,5.4855175587,4.2243755378,3.8303701682,2.8348607232,2.0965493118,1.7472145049
25,0.4384080205,0.458243004,0.5529958358,0.7875734656,1.1245989356,1.250313984,1.3669904711,2.0143469232,2.4466999214,2.6437493481,1.8715543168,1.7024219503,1.5296859186,1.1357450847,0.914670999,0.8592188804,0.7471020222,0.6767568929,0.6200968494,0.5599969881,0.5390518984
26,0.6120403161,0.6057807708,0.6161917246,0.6309446598,0.6824287707,0.7793951392,0.8879524163,1.0150550803,1.0723611262,1.3217847112,1.5383691739,1.5387999776,1.4791134342,1.3781236187,1.18270345,0.9491797175,0.7885045338,0.7311788951,0.6962898631,0.6751440285,0.6502299331
27,0.5940296439,0.5753791551,0.5759087475,0.6289358245,0.7981601158,1.050382039,1.3314837803,1.575501989,1.7685746589,1.7685746589,1.8364859663,1.727497699,1.648942123,1.2788406748,1.0613842418,0.960937359,0.7819644066,0.6406922444,0.5922259236,0.5572356329,0.5610153067
28,0.2427082173,0.2427082173,0.2427082173,0.8517558885,0.8585114092,1.066267989,1.1225071282,1.1573404889,1.2059223272,1.3226333229,1.3590755024,1.2216527938,1.247204555,1.2221659958,1.0653726999,8.3860087398,13.9066159001,0.2427082173,0.2429893365,0.2429893365,0.2429893365
29,0.6348911552,0.6113768685,0.6434945612,0.8341169123,1.2145070765,1.6135525423,1.8273344059,1.9304985703,2.0682819693,2.530554114,2.8277413859,2.5798681582,1.7981139251,1.5568714023,1.2614707424,1.0767188298,0.9580821972,0.8794648303,0.7461976485,0.6856933455,0.6379057272
30,0.5417184517,0.5203368575,0.6164001857,0.7457171738,0.9741315973,1.3734435491,1.6688939902,1.8884022963,2.2073465227,2.4755216109,2.2662378588,2.0391052846,1.390816696,1.0934864019,0.7823923998,0.5632684892,0.5117603273,0.4806245503,0.4551633323,0.4439563854,0.4456822823
37,1.4904734663,2.2060733992,3.7250327498,6.2061671792,8.9451374194,12.2288092216,17.4546577251,21.8679422859,22.6532285652,22.6491004919,22.8247306245,21.8046307419,11.6861160368,7.8590759439,5.4386008946,4.6635555931,5.4176527648,4.7626503342,3.651210129,2.8084184456,3.1376625502
38,1.3003295223,1.1918273422,1.170086539,1.1060418164,1.1072480592,1.5054437587,2.6920088816,4.5187152244,6.7852267433,8.7550240352,10.8397259144,13.0835761031,15.4550793687,17.9047799058,17.0033045599,12.7370836497,10.077424369,7.6776822484,6.7597164923,5.850580869,5.1090370905
39,0.7476703135,0.7174491854,0.7148281209,0.7448345576,0.7655711246,0.8325906655,0.9453565174,1.5392985789,2.2626729699,3.5839546603,5.3568003352,7.4486055803,10.1179072039,10.1235748187,8.4246913827,6.6732489777,5.0887226409,4.3911310859,3.6517650258,2.493258824,1.9596984697
40,1.3332374343,1.3391636011,1.3080630555,1.4860301635,1.8386009348,3.0497818939,4.6045776991,7.6842166862,8.876423613,11.1312345026,21.381593172,23.6611540382,21.6539020058,16.4985669487,12.834287169,10.2095482136,8.1118410911,6.2904763669,5.3831311965,3.9632229157,3.0107829952
PATH_4_06/03/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2891159933,0.2757343683,0.3082705999,0.4323813565,0.6918007416,1.0249590796,1.4501002463,2.0518722919,2.7556481813,2.9208734242,3.0537877014,3.3870274876,3.3651505075,1.6869846245,0.888334151,0.6351670076,0.4294983795,0.3757965733,0.3532930804,0.3356630967,0.3211434694
9,0.392192872,0.3815964892,0.4796869671,0.8592361004,1.3912581202,1.9078528744,2.79297814,3.8056563007,4.946738449,6.196213999,7.1444687806,7.0973286035,6.6229339075,3.2442962684,1.4550764762,0.9108368016,0.7139505764,0.6075374013,0.5317449102,0.4830179817,0.4527200224
15,0.6041192026,0.5007921795,0.9165097264,1.3567089699,2.6310149864,2.5619520839,3.3852814718,3.8905119223,4.766439177,4.7499251802,4.1910275653,3.3357645526,2.5880308459,2.0287126843,1.6947368681,1.2125084353,0.9893338114,0.8273037944,0.7240946499,0.6577415781,0.6164838437
16,0.7696647735,0.6239904482,0.7924861751,1.4719967051,1.9691850598,2.3932679664,3.1160300818,3.9468578524,5.6044435936,8.516621988,10.4493500671,11.7540725664,12.0388603723,8.4222733168,3.7864911864,2.9065877014,2.7212185653,2.1753287052,1.3450662922,1.1963596245,1.1247978153
17,0.5655865127,0.5836743856,0.5689447154,1.3607935053,3.4734487948,5.6050500688,6.7916097453,8.6559590335,11.9146411115,13.4932288017,14.7459429302,15.6906970065,15.2001909363,13.3474851573,8.7291499098,4.9572343246,2.617155365,1.4094336956,1.2049422018,1.3269613121,1.65042297
18,0.9761235671,0.9377273021,1.1589841689,1.9268063762,2.715113901,3.8780168623,5.3287884519,8.0176383225,12.2377312561,14.6301417651,15.2410722441,14.8365525828,13.9117513664,11.3375917158,7.8928233115,5.6027856133,3.796744181,3.1604799691,3.1569634756,2.5039278532,1.8968614278
25,0.2799138203,0.2897549925,0.3949536773,0.9034186857,1.5968747794,1.937235202,2.3104411224,2.6156524431,2.9621927223,3.8941358172,3.9345245692,4.1944479353,2.8270478211,1.0717457834,0.7519789672,0.6022198156,0.6298480752,0.5404698184,0.4423436863,0.3887339139,0.3743478407
26,0.3871397753,0.3858334518,0.3832340137,0.3779287948,0.4209802011,0.5363601217,0.807114712,1.174016206,1.4579196544,1.8679667229,2.2331441504,2.8612269186,2.9608326379,1.7604518787,1.3984025163,0.8098473753,0.6525095691,0.6618545404,0.5871205039,0.5656129931,0.4964635597
27,0.3568240545,0.3472561929,0.3367574087,0.3434160946,0.3800119941,0.6011129272,0.9447145475,1.2916074613,1.5673519459,2.1501283471,2.5798919977,3.2454938829,4.3634696697,3.3133757598,2.3738367706,1.4738934969,1.0745559825,0.8514687638,0.8084489527,0.6713143712,0.5795764272
28,7.7090866503,7.7090866503,7.7090866503,1.2367904998,0.4910446186,0.7213431762,1.1551840912,1.813320541,2.0658870897,2.2982770133,2.7767459418,3.0058479791,3.0164472077,2.805830904,2.1991693427,8.5671893721,7.7090866503,7.7090866503,7.7108869218,7.7108869218,7.7108869218
29,4.0056243771,4.0025602258,4.0086224796,0.8747818496,0.7867534639,1.0363900145,1.4064729312,1.9864660394,2.474828395,2.6632838976,3.0610262933,3.4268178437,3.142223906,2.2101679147,1.4328525011,4.538962895,4.0748821469,4.0575292134,4.0419056764,4.032600864,4.0274562141
30,0.3021621038,0.2960338012,0.3081583089,0.5127731994,1.0824623091,1.3514368529,1.6577617712,2.1596115379,2.8837697002,3.0282907818,3.3453066447,3.8477877084,3.2680006044,1.6145049254,0.6665356596,0.5107364179,0.4406776434,0.4059717764,0.3729244309,0.3543148062,0.3440255064
37,1.2482070487,1.5107871039,2.7735719667,3.8571269308,6.2147849159,9.9776367423,15.5006565109,18.4616373036,19.8885282211,21.4014069411,21.1560734502,20.6552175143,20.3445869602,15.1273891151,8.942775984,8.5582545005,7.7020950156,5.9153725265,3.8098752342,2.8026230772,2.5125097574
38,1.1407225367,0.7626255455,0.6273515973,0.7332283231,1.0249069887,1.7698625102,2.9903841749,4.667491922,6.5955941015,8.8199999622,10.8132460177,12.0544256423,12.664108191,12.5954024913,10.2812501827,6.2267956945,6.2990691325,4.5349854071,2.5083017642,1.6867708073,1.2777822221
39,0.7272340806,0.6604546141,0.6124384253,0.6074612622,0.8941811714,1.3550700199,2.0789711423,3.3422797306,5.1473042356,7.7740644918,11.424876513,13.84429353,14.4742777846,14.0436892087,11.6787754259,5.6082185957,3.5551353236,3.2864670021,2.2600297716,1.8204395564,1.6368243398
40,0.7368203234,0.6849165966,0.9114662493,1.5939635117,2.5500121822,3.9663791699,6.0957553302,7.8116130675,10.450718149,13.5475136828,14.6360112226,14.3545590639,13.718252629,8.7391476489,3.8870372439,3.1644594308,3.9298019789,1.4535537448,0.9085048559,0.7292659073,0.6448854342
PATH_5_07/03/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
